,geo,text,user,location,Subject,state
487,," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",FentonHolland,"Jacksonville,Florida",Donald Trump,Florida
492,, This is Donald Trump’s last Thursday as president.,ANN13951880,"Ohio, USA",Donald Trump,Ohio
496,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",salthegal123,Maryland,Donald Trump,Maryland
503,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",WREN_Nigeria,"Houston, TX",Donald Trump,Texas
504,,"  I don’t want Hunter Biden’s laptop. I want Donald Trump’s taxes, his medical records, Ivanka’s and Jared…",SandHillInsight,"Menlo Park, CA",Donald Trump,California
510,," If you want to primary Biden &amp; Harris in 2024 after they beat Donald Trump, your best bet is to join the #YangGang, &amp; we'd l…",PR4GM47IC,"Albuquerque, NM",Donald Trump,New Mexico
512,," . endorses #BidenHarris2020, stating that they will “restore steadiness and civility to the White House, and thus…",jeffl76,"Maine, United States",Donald Trump,Maine
520,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",Karen10290453,"Fort Myers, FL",Donald Trump,Florida
523,," “This is the entire Republican strategy in 2020: not to win the election but to make the winner unknowable, so that Trump ca…",Cozy1950,"Nebraska, USA",Donald Trump,Nebraska
540,, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…,WREN_Nigeria,"Houston, TX",Donald Trump,Texas
541,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",JerryTravone,"New Jersey, USA",Donald Trump,New Jersey
545,, 💥 POLL 💥Who are you voting for in the Presidential Election?President Trump already has my vote👍… ,cindy_mcphee,"California, USA",Donald Trump,California
548,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,MarySager0622,"Indiana, USA",Donald Trump,Indiana
566,, America’s reputation abroad has plunged during Donald Trump’s presidency. Confidence that he will do the right thing in w…,sunshine_toni,"Pennsylvania, USA",Donald Trump,Pennsylvania
567,, Fact check here: ,armanwalker,"Los Angeles, California",Donald Trump,California
575,, Please tell me y’all aren’t taking Lil Wayne seriously! Donald Trump said that he loves ❤️ the uneducated this is not surp…,RGinHarlem,"Harlem, New York",Donald Trump,New York
579,, Fascist greedy grifter Trump screws the middle class and poor again 🤬👉he wants to completely unleash greedy corporations — and…,LesterMoe6,"Washington, DC",Donald Trump,Washington
580,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",CiAnDy3,"Newton, MA",Donald Trump,Massachusetts
587,, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via ,BARB4TRUMP,"California, USA",Donald Trump,California
593,, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via ,Jason_9905,Georgia,Donald Trump,Georgia
596,, . on Lil Wayne endorsing Trump: “I’m really sick of you gremlin degenerates who come out here and push…,audiojoe13,"Baltimore, MD",Donald Trump,Maryland
597,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,1473music,"Ann Arbor, MI",Donald Trump,Michigan
598,, This is Donald Trump’s last Thursday as president.,Pagecamper1,"Living in my Head, NC ",Donald Trump,North Carolina
599,, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…,WilliamMMcKee,"Virginia Beach, VA",Donald Trump,Virginia
611,, Donald Trump has not seen it as his duty to represent the majority of Americans who did not vote for him. Joe Biden would…,DianeEugenio,"Florida, USA",Donald Trump,Florida
614,, ‘Shoot Black People’ is the battle cry Right Wing Extremists chant in the name of Donald Trump.  Is this the kind of g…,ResistOrganize,"Washington, DC",Donald Trump,Washington
619,,"“The document, a 64-page composition that was later disseminated by close associates of President Donald Trump, app… ",louisfarber,"Tempe, Arizona",Donald Trump,Arizona
625,,Three Ballots turned in tonight for Justin Forsman and Donald J. Trump. ,ForsmanJustin,"Vancouver, WA",Donald Trump,Washington
642,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",redirectloop,"Los Angeles, CA",Donald Trump,California
645,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",fbelad,"Delaware, USA",Donald Trump,Delaware
647,, Those who didn't vote in 2016 are showing up early in droves — and more are Democrats. ,DianeEugenio,"Florida, USA",Donald Trump,Florida
648,, 💥 POLL 💥Who are you voting for in the Presidential Election?President Trump already has my vote👍… ,cindy_mcphee,"California, USA",Donald Trump,California
660,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",2013_Lynne,Indiana,Donald Trump,Indiana
